year, Riyadh,Riyadh, global ,global,,,
1843,24.74,,8.17,,,,
1844,15.45,,7.65,,,,
1845,20.82,,7.85,,,,
1848,24.56,,7.98,,,,
1849,24.8,,7.98,,,,
1850,24.34,,7.9,,,,
1851,25.03,22.8,8.18,7.96,,,
1852,24.85,22.8,8.1,7.95,,,
1853,24.93,24.2,8.04,8.00,,,
1854,24.72,24.7,8.21,8.06,,,
1855,24.92,24.8,8.11,8.07,,,
1856,24.57,24.8,8,8.08,,,
1857,24.26,24.8,7.76,8.06,,,
1858,25.01,24.8,8.1,8.05,,,
1859,24.95,24.8,8.25,8.07,,,
1860,24.94,24.8,7.96,8.06,,,
1861,24.13,24.7,7.85,8.00,,,
1862,23.77,24.5,7.56,7.93,,,
1863,24.28,24.5,8.11,7.94,,,
1864,25.03,24.6,7.98,7.97,,,
1865,25.23,24.6,8.18,7.98,,,
1866,24.92,24.6,8.29,7.99,,,
1867,25.22,24.7,8.44,8.06,,,
1868,25,24.8,8.25,8.12,,,
1869,25.3,25.0,8.43,8.24,,,
1870,25.02,25.1,8.2,8.25,,,
1871,24.73,25.1,8.12,8.27,,,
1872,24.87,25.0,8.19,8.27,,,
1873,25.24,25.1,8.35,8.28,,,
1874,24.98,25.0,8.43,8.28,,,
1875,24.43,24.9,7.86,8.23,,,
1876,24.89,24.9,8.08,8.18,,,
1877,25.47,24.9,8.54,8.22,,,
1878,25.51,25.1,8.83,8.33,,,
1879,25.24,25.1,8.17,8.32,,,
1880,24.8,25.0,8.12,8.29,,,
1881,25.63,25.1,8.27,8.27,,,
1882,24.66,25.2,8.13,8.31,,,
1883,25.19,25.2,7.98,8.29,,,
1884,24.8,25.1,7.77,8.18,,,
1885,24.98,25.0,7.92,8.05,,,
1886,24.98,25.0,7.95,8.02,,,
1887,24.81,25.0,7.91,7.99,,,
1888,25.13,24.9,8.09,7.96,,,
1889,25.52,25.1,8.32,7.99,,,
1890,25.07,25.0,7.97,7.99,,,
1891,25.39,25.1,8.02,8.03,,,
1892,25.22,25.2,8.07,8.05,,,
1893,25.19,25.2,8.06,8.06,,,
1894,24.66,25.2,8.16,8.10,,,
1895,24.69,25.1,8.15,8.11,,,
1896,24.88,25.0,8.21,8.09,,,
1897,24.86,25.0,8.29,8.14,,,
1898,24.88,24.9,8.18,8.16,,,
1899,25.12,24.9,8.4,8.21,,,
1900,25.29,24.9,8.5,8.27,,,
1901,25.55,25.0,8.54,8.32,,,
1902,25.25,25.1,8.3,8.35,,,
1903,24.64,25.1,8.22,8.35,,,
1904,25.07,25.1,8.09,8.32,,,
1905,24.87,25.1,8.23,8.33,,,
1906,24.85,25.1,8.38,8.32,,,
1907,24.44,25.0,7.95,8.24,,,
1908,24.95,24.9,8.19,8.19,,,
1909,25.57,24.9,8.18,8.18,,,
1910,24.75,24.9,8.22,8.18,,,
1911,24.24,24.8,8.18,8.19,,,
1912,24.96,24.8,8.17,8.18,,,
1913,24.63,24.8,8.3,8.17,,,
1914,24.94,24.9,8.59,8.26,,,
1915,25.38,24.9,8.59,8.32,,,
1916,24.85,24.8,8.23,8.33,,,
1917,25.03,24.9,8.02,8.30,,,
1918,24.66,24.9,8.13,8.29,,,
1919,25.39,25.0,8.38,8.32,,,
1920,24.94,25.0,8.36,8.33,,,
1921,24.84,25.0,8.57,8.33,,,
1922,25.35,25.0,8.41,8.30,,,
1923,25.1,25.0,8.42,8.33,,,
1924,25.69,25.1,8.51,8.40,,,
1925,25,25.2,8.53,8.45,,,
1926,25.19,25.2,8.73,8.50,,,
1927,25.29,25.2,8.52,8.53,,,
1928,25.39,25.3,8.63,8.54,,,
1929,25.36,25.3,8.24,8.51,,,
1930,25.39,25.3,8.63,8.54,,,
1931,25.38,25.3,8.72,8.57,,,
1932,24.96,25.3,8.71,8.60,,,
1933,24.67,25.2,8.34,8.54,,,
1934,24.97,25.2,8.63,8.56,,,
1935,25.61,25.2,8.52,8.54,,,
1936,25.15,25.2,8.55,8.59,,,
1937,25.08,25.1,8.7,8.60,,,
1938,25.11,25.1,8.86,8.62,,,
1939,25.16,25.1,8.76,8.62,,,
1940,25.51,25.2,8.76,8.68,,,
1941,25.37,25.3,8.77,8.70,,,
1942,25.49,25.3,8.73,8.73,,,
1943,24.96,25.2,8.76,8.76,,,
1944,25.6,25.3,8.85,8.78,,,
1945,25.3,25.3,8.58,8.74,,,
1946,25.49,25.4,8.68,8.73,,,
1947,26,25.5,8.8,8.74,,,
